id,user_id,facebook_id,movie_name,category,created_time
143,10,142077702491992,The Next Three Days,Movie,2011-08-07 21:57:58
144,10,58168456696,Team Twilight,Movie,2011-02-27 13:05:25
145,10,108173215878011,Memento,Movie,2011-02-06 22:06:30
146,10,225034700870481,The Dark Knight Rises,Movie,2013-02-05 17:55:03
147,10,150444495003892,Limitless,Movie,2011-07-24 09:12:13
148,10,251353808252087,A Beautiful Mind,Movie,2013-02-05 17:53:49
149,10,103636093053996,The Shawshank Redemption,Movie,2012-11-21 07:29:54
150,10,132294760114,Shutter Island,Movie,2013-02-05 17:53:06
151,10,106602966061813,Black Swan,Movie,2013-02-05 17:53:52
152,10,112854815395363,The Illusionist,Movie,2011-02-06 22:01:54
153,10,106085182756824,The Bourne Identity,Movie,2010-09-27 19:51:25
154,10,204484616255526,A.I. Artificial Intelligence,Movie,2012-11-04 10:14:48
155,10,84213402434,Sherlock Holmes,Movie,2013-02-05 17:53:18
156,10,35481394342,The Godfather,Movie,2010-09-27 19:50:58
157,10,103100933063455,All Good Things,Movie,2011-03-05 11:45:34
158,10,212216417436,The Lord of the Rings Trilogy,Movie,2013-02-05 17:53:19
159,10,180774635291325,Transformers,Movie,2013-02-05 17:54:02
160,10,116538878495183,The Best Movie Lines,Movie,2014-03-24 16:25:30
161,10,152542051476998,A Walk To Remember,Movie,2013-02-05 17:54:40
162,10,160640653979986,The Social Network Movie,Movie,2013-02-05 17:53:29
163,10,111767455506708,The Damned United,Movie,2011-07-27 18:30:43
164,10,170700836293714,X-Men Movies,Movie,2013-02-05 17:54:04
165,10,7057882289,Iron Man,Movie,2010-11-20 23:13:26
166,10,706054532797482,Requiem for a Dream,Movie,2014-07-31 21:49:48
167,10,272832346113356,Nights in Rodanthe,Movie,2012-01-18 23:27:57
168,10,104052522965312,Gladiator,Movie,
169,10,104054269631460,Requiem for a Dream,Movie,2011-04-15 18:57:34
170,10,106527789383680,Shawshank Redemption,Movie,2010-09-27 19:39:34
171,10,270106119696186,Bourne,Movie,2011-10-24 19:36:21
172,8,91290503700,Inception,Movie,2014-11-09 05:58:47
173,12,91290503700,Inception,Movie,2010-07-23 21:12:00
174,12,24098842630,Fast & Furious,Movie,2014-11-11 08:42:59
175,12,96787126667,Alice in Wonderland,Movie,2014-11-11 08:43:00
176,14,194141419557,I actually find Chandler's jokes funny,Community,2011-04-22 21:38:09
177,14,317391334952902,King Kong,Movie,2011-12-23 05:19:15
178,14,112518935430579,Man of the Year,Movie,2010-04-23 16:06:21
179,14,15294801701,Finding Nemo,Movie,2010-04-23 16:06:22
180,14,110886562266831,Lucky Number Sleven,Movie,2010-04-23 16:06:21
181,14,209805225836672,House of Sand and Fog,Movie,2013-08-08 04:07:56
182,14,104015229635090,Boys (2003 film),Movie,2010-04-23 16:06:21
183,14,107920642569197,Behind Enemy Lines,Movie,2010-04-23 16:06:21
184,14,24098842630,Fast & Furious,Movie,2013-05-04 13:33:24
185,14,103749379663834,House of Sand and Fog,Movie,2010-04-23 16:06:21
186,14,111755788841544,Miracle,Movie,2010-04-23 16:06:22
187,14,169299103121699,Star Wars,Movie,
188,14,110891525602063,Battlestar Galactica (film),Movie,2010-04-23 16:06:21
189,14,128006210604362,Van Helsing,Movie,2011-03-23 19:29:35
190,14,103990509637581,The Lord of the Rings film trilogy,Movie,2010-04-23 16:06:22
191,14,39644305296,Fight Club,Movie,2014-01-12 10:03:45
192,14,30382852317,?? Jackie Chan,Actor/director,2011-08-26 08:14:27
193,14,105467552820880,Night at the Museum,Movie,2010-04-23 16:06:21
194,14,103070923066176,2 Fast 2 Furious,Movie,2010-04-23 16:06:19
195,14,189231947796149,Catch Me If You Can,Movie,2011-07-01 05:50:57
196,14,107629399260396,The Terminator,Movie,2010-04-23 16:06:22
197,14,107454359277006,Van Helsing,Movie,2010-04-23 16:06:24
198,14,18128947058,Kung Fu Panda,Movie,2009-02-11 16:10:32
199,14,107999845895124,Star Wars,Movie,
200,14,110690592286422,Animated Movies,Tv genre,2010-04-23 16:06:22
201,14,110199582342463,Final Destination,Movie,2014-04-02 18:40:48
202,14,112693952075544,Rush Hour,Movie,2010-04-23 16:06:22
203,14,175613445822691,The Last Samurai,Movie,2011-06-01 07:53:33
204,14,109436175750227,Catch Me If You Can,Movie,2010-04-23 16:06:22
205,14,191140214238741,Spider-Man,Movie,2011-03-12 14:38:40
206,14,162564747125805,8 Mile,Movie,2011-03-09 23:50:35
207,14,114198018660591,Troy,Movie,2011-05-19 05:51:15
208,14,108066455888707,Running Scared,Movie,2010-04-23 16:06:21
209,14,113083312038596,The Last Samurai,Movie,2010-04-23 16:06:26
210,14,91290503700,Inception,Movie,2010-07-19 15:19:40
211,14,105582276141626,Casino Royale,Movie,2010-04-23 16:06:26
212,14,317928348241564,Ted,Movie,2014-05-27 21:36:17
213,14,108163045871885,8 Mile,Movie,2010-04-23 16:06:23
214,14,106068599424853,Zathura,Movie,2010-04-23 16:06:22
215,14,102788873090907,Children of Men,Movie,2010-04-23 16:06:21
216,14,112235312126431,Jackie Chan,Public figure,
217,14,142656362465441,Children of Men,Movie,2011-07-06 15:48:00
218,14,225034700870481,The Dark Knight Rises,Movie,2012-08-05 21:03:51
219,14,113117622036562,Zoom (film),Movie,2010-04-23 16:06:21
220,14,108425375849213,Torque,Movie,2010-04-23 16:06:19
221,14,104122822958141,Troy,Movie,2010-04-23 16:06:25
222,14,107330159345130,Zathura,Movie,2011-02-23 08:50:31
223,14,108213189199750,P.S. I Love You,Movie,2010-08-12 18:59:28
224,14,200567473298408,Rush Hour,Movie,2011-06-01 18:26:27
225,14,212216417436,The Lord of the Rings Trilogy,Movie,2011-03-03 10:35:24
226,14,152542051476998,A Walk To Remember,Movie,2013-05-30 13:19:52
227,14,105618956138236,King Kong,Fictional character,2010-04-23 16:06:22
228,14,111848228832068,Avatar,Movie,
229,14,115058325176059,Spiderman,Movie,2010-04-23 16:06:22
230,14,599354383479469,Behind Enemy Lines,Movie,2014-02-25 08:10:30
231,14,108742599150970,Into the Blue,Movie,2010-04-23 16:06:22
232,15,229197930430239,Gladiator,Movie,2014-11-21 07:34:33
233,15,329909013749416,Kuch Kuch Hota Hai,Movie,2014-11-21 07:32:18
234,15,368938496503181,The Proposal,Movie,2014-11-21 07:35:05
235,15,224332791564,Rocky,Movie,2014-11-21 07:31:35
236,15,109256762425583,Seducing Mr. Perfect,Movie,2014-11-21 07:35:13
237,15,105458649488033,Happy Days,Movie,2014-11-21 07:33:26
238,15,18128947058,Kung Fu Panda,Movie,2014-11-21 07:32:09
239,15,108357255855637,Peaceful Warrior,Movie,2014-11-21 07:32:00
240,15,225034700870481,The Dark Knight Rises,Movie,2014-11-21 07:34:20
241,15,117124431723243,Serendipity,Movie,2014-11-21 07:32:27
242,15,109469595745998,Confessions of a Shopaholic,Movie,2010-09-08 17:25:04
243,15,220797768075488,Before Sunrise,Movie,2014-04-10 03:25:27
244,15,246344278767961,Batman Begins,Movie,2014-11-21 07:34:17
245,15,160640653979986,The Social Network Movie,Movie,2011-02-16 11:59:34
246,15,17377140236,Ratatouille,Movie,2014-11-21 07:35:24
247,15,126757470715601,Avengers,Movie,2014-11-21 07:34:29
248,15,68003267181,Orphan,Movie,2014-11-21 07:31:48
249,15,108046285890083,Konchem Ishtam Konchem Kashtam,Movie,2014-11-21 07:33:09
250,15,104085552961607,Godavari,Movie,2014-11-21 07:33:39
251,15,110805862281668,Pursuit of Happyness,Movie,2010-05-14 21:50:32
252,15,107575252605631,Bommarillu,Movie,2014-11-21 07:33:16
253,15,110431812312007,Anand,Movie,2014-11-21 07:33:31
254,15,156794164312,Harry Potter,Movie,2014-11-21 07:32:48
255,16,113242012023271,Toy Story 3,Movie,2014-11-21 07:33:30
256,16,12887942787,Batman: The Dark Knight,Movie,2008-12-01 22:14:07
257,16,317928348241564,Ted,Movie,2014-11-21 07:34:47
258,16,122352024462380,Captain America,Movie,2014-11-21 07:34:16
259,16,168169803229342,Men In Black,Movie,2014-11-21 07:34:12
260,16,24098842630,Fast & Furious,Movie,2014-11-21 07:31:51
261,16,327836155819,Real Steel,Movie,2014-11-21 07:33:50
262,16,135585689798863,Pirates of the Caribbean: On Stranger Tides,Movie,2014-11-21 07:34:52
