id,user_id,movie_name_first,movie_name_second,facebook_id_first,facebook_id_second,user_clicked,created_at,why user liked?,source
76,6,I Am Legend,Old School,163042800417248,107708005925966,163042800417248,2014-11-08 23:20:25,,
77,6,Inception,Anchorman,91290503700,149754391717284,91290503700,2014-11-08 23:20:25,,
78,6,Dodgeball,Bourne Ultimatum,401640156527419,105742379466221,105742379466221,2014-11-08 23:20:25,,
79,6,Catching Fire Movie,Wedding Crashers,442962972411793,225105910930642,225105910930642,2014-11-08 23:20:25,,
80,6,Talladega Nights: The Ballad of Ricky Bobby,Catching Fire Movie,112896718725157,442962972411793,442962972411793,2014-11-08 23:20:25,,
81,6,Bourne Ultimatum,The Lord of the Rings Trilogy,105742379466221,212216417436,105742379466221,2014-11-08 23:20:25,,
82,8,Official: Fantastic Four,Batman: The Dark Knight,811858478866705,12887942787,12887942787,2014-11-08 23:28:46,,facebook
83,8,Avatar,Batman v Superman: Dawn of Justice,82771544063,243645259169395,243645259169395,2014-11-08 23:28:46,,facebook
84,8,Azad (film),Jupiter Ascending,106100379420928,280808081937245,280808081937245,2014-11-08 23:28:46,xc,facebook
85,8,Jupiter Ascending,Interstellar,280808081937245,547898971970158,547898971970158,2014-11-08 23:28:46,,facebook
86,8,Fantastic 4,Official: Fantastic Four,110131885683575,811858478866705,811858478866705,2014-11-08 23:28:46,,facebook
87,8,Shrek,Fantastic 4,355374000182,110131885683575,110131885683575,2014-11-08 23:28:46,,facebook
88,8,Interstellar,Avatar,547898971970158,82771544063,82771544063,2014-11-08 23:28:46,,facebook
89,8,Batman v Superman: Dawn of Justice,Jump Street Movies,243645259169395,162936223795683,162936223795683,2014-11-08 23:28:46,dcsd,facebook
90,8,Jump Street Movies,Captain America,162936223795683,122352024462380,122352024462380,2014-11-08 23:28:46,,facebook
91,8,Captain America,Shrek,122352024462380,355374000182,355374000182,2014-11-08 23:28:46,,facebook
92,9,DCH Gang,Blood Diamond,268817026482059,8452574190,8452574190,2014-11-08 23:47:42,Has a more gripping story line,
93,9,Prayschit,Sound City Movie,134739203328846,298282330211610,298282330211610,2014-11-08 23:47:42,,
94,9,"""Harry Potter and the Deathly Hallows""",21,20034039910,6806293649,20034039910,2014-11-08 23:47:42,,
95,9,Blood Diamond,Transformers,8452574190,180774635291325,8452574190,2014-11-08 23:47:42,,
96,9,Iron Man,Inception,7057882289,91290503700,91290503700,2014-11-08 23:47:42,,
97,9,Inception,Prayschit,91290503700,134739203328846,91290503700,2014-11-08 23:47:42,,
98,9,The Hangover,DCH Gang,74089565764,268817026482059,268817026482059,2014-11-08 23:47:42,More realistic than hangover.,
99,9,Sound City Movie,"""Harry Potter and the Deathly Hallows""",298282330211610,20034039910,20034039910,2014-11-08 23:47:42,,
100,9,Transformers,Iron Man,180774635291325,7057882289,7057882289,2014-11-08 23:47:42,,
101,9,21,Kick-Ass,6806293649,112173025466455,112173025466455,2014-11-08 23:47:42,The story line is awesome. Background music is amazing.,
102,10,Hereafter,Prestige,242643169055,106266986076412,106266986076412,2014-11-08 23:50:02,Great script and even better act. It was a new way of showing suspenses on twin roles and the movie succeeded on it. ,
103,10,3 Idiots Movie,Fight Club,441170255909978,39644305296,39644305296,2014-11-08 23:50:02,,
104,10,Saving Private Ryan,Shutter Island,131804703563360,132294760114,132294760114,2014-11-08 23:50:02,Dicaprio Fan!,
105,10,Unfaithful,Kung Fu Panda,105574909476929,18128947058,18128947058,2014-11-08 23:50:02,,
106,10,A Walk To Remember,The Notebook,152542051476998,107563339266863,107563339266863,2014-11-08 23:50:02,,
107,10,Kung Fu Panda,X-Men Movies,18128947058,170700836293714,170700836293714,2014-11-08 23:50:02,,
108,10,Limitless,A.I. Artificial Intelligence,150444495003892,204484616255526,150444495003892,2014-11-08 23:50:02,,
109,10,The Notebook,Limitless,107563339266863,150444495003892,107563339266863,2014-11-08 23:50:02,,
110,10,Nights in Rodanthe,3 Idiots Movie,272832346113356,441170255909978,441170255909978,2014-11-08 23:50:02,,
111,10,Iron Man,A Walk To Remember,7057882289,152542051476998,152542051476998,2014-11-08 23:50:02,The ending ,
112,10,A.I. Artificial Intelligence,V For Vendetta,204484616255526,191457994228848,191457994228848,2014-11-08 23:50:02,,
113,10,V For Vendetta,Nights in Rodanthe,191457994228848,272832346113356,191457994228848,2014-11-08 23:50:02,,
114,10,Prestige,Epic Movie Dialogues,106266986076412,625885797465196,625885797465196,2014-11-08 23:50:02,,
115,10,The Fighter,Iron Man,144258942282205,7057882289,144258942282205,2014-11-08 23:50:02,,
116,10,Sherlock Holmes,Memento,84213402434,285128358275044,285128358275044,2014-11-08 23:50:02,,
117,10,Memento,Hereafter,285128358275044,242643169055,285128358275044,2014-11-08 23:50:02,"Movies with frequent timeline jumps end up confusing the audience , but this movie rather used it to create great thrill",
118,10,Fight Club,Unfaithful,39644305296,105574909476929,39644305296,2014-11-08 23:50:02,,
119,10,Epic Movie Dialogues,Saving Private Ryan,625885797465196,131804703563360,625885797465196,2014-11-08 23:50:02,,
120,10,X-Men Movies,Sherlock Holmes,170700836293714,84213402434,84213402434,2014-11-08 23:50:02,Great books hardly make great movies. But this was a exception and Downey just nailed it. ,
121,8,Batman: The Dark Knight,Official: Fantastic Four,12887942787,811858478866705,811858478866705,2014-11-09 16:20:23,,facebook
122,8,Inception,Captain America,91290503700,122352024462380,122352024462380,2014-11-09 16:20:23,,facebook
123,12,Fast & Furious,Alice in Wonderland,24098842630,96787126667,,2014-11-11 02:43:14,,
124,12,Alice in Wonderland,Inception,96787126667,91290503700,,2014-11-11 02:43:14,,
125,2,Transformers: Dark of the Moon,Gravity,162971073727950,122280464518509,122280464518509,2014-11-20 21:26:27,"direction, cinematography, story",facebook
126,14,Zathura,Jackie Chan,106068599424853,112235312126431,106068599424853,2014-11-21 02:00:12,,pilot
127,14,Ted,Children of Men,317928348241564,142656362465441,317928348241564,2014-11-21 02:00:12,,pilot
128,14,Van Helsing,Fight Club,107454359277006,39644305296,39644305296,2014-11-21 02:00:12,,pilot
129,14,King Kong,P.S. I Love You,105618956138236,108213189199750,108213189199750,2014-11-21 02:00:12,,pilot
130,14,Man of the Year,Van Helsing,112518935430579,128006210604362,128006210604362,2014-11-21 02:00:12,Graphics,pilot
131,14,Animated Movies,Avatar,110690592286422,111848228832068,111848228832068,2014-11-21 02:00:12,Story,pilot
132,14,Jackie Chan,Behind Enemy Lines,112235312126431,599354383479469,112235312126431,2014-11-21 02:00:12,,pilot
133,14,Miracle,Animated Movies,111755788841544,110690592286422,111755788841544,2014-11-21 02:00:12,,pilot
134,14,Torque,Spiderman,108425375849213,115058325176059,108425375849213,2014-11-21 02:00:12,,pilot
135,14,Avatar,Zathura,111848228832068,106068599424853,111848228832068,2014-11-21 02:00:12,,pilot
136,14,Spider-Man,Van Helsing,191140214238741,107454359277006,107454359277006,2014-11-21 02:00:12,story,pilot
137,14,Spiderman,Spider-Man,115058325176059,191140214238741,115058325176059,2014-11-21 02:00:12,,pilot
138,14,2 Fast 2 Furious,House of Sand and Fog,103070923066176,103749379663834,103070923066176,2014-11-21 02:00:12,,pilot
139,14,P.S. I Love You,Ted,108213189199750,317928348241564,317928348241564,2014-11-21 02:00:12,,pilot
140,14,Van Helsing,King Kong,128006210604362,105618956138236,105618956138236,2014-11-21 02:00:12,,pilot
141,14,Behind Enemy Lines,2 Fast 2 Furious,599354383479469,103070923066176,599354383479469,2014-11-21 02:00:12,,pilot
142,14,Fight Club,Running Scared,39644305296,108066455888707,39644305296,2014-11-21 02:00:12,,pilot
143,14,Children of Men,Torque,142656362465441,108425375849213,108425375849213,2014-11-21 02:00:12,,pilot
144,14,Running Scared,Miracle,108066455888707,111755788841544,111755788841544,2014-11-21 02:00:12,,pilot
145,15,Seducing Mr. Perfect,Kung Fu Panda,109256762425583,18128947058,109256762425583,2014-11-21 02:00:27,Romance.,pilot
146,15,The Social Network Movie,The Proposal,160640653979986,368938496503181,368938496503181,2014-11-21 02:00:27,,pilot
147,15,The Dark Knight Rises,Bommarillu,225034700870481,107575252605631,225034700870481,2014-11-21 02:00:27,,pilot
148,15,Kung Fu Panda,Happy Days,18128947058,105458649488033,18128947058,2014-11-21 02:00:27,,pilot
149,15,Serendipity,Pursuit of Happyness,117124431723243,110805862281668,110805862281668,2014-11-21 02:00:27,,pilot
150,15,Confessions of a Shopaholic,Orphan,109469595745998,68003267181,109469595745998,2014-11-21 02:00:27,,pilot
151,15,Avengers,Harry Potter,126757470715601,156794164312,126757470715601,2014-11-21 02:00:27,Story,pilot
152,15,Orphan,Rocky,68003267181,224332791564,224332791564,2014-11-21 02:00:27,,pilot
153,15,Konchem Ishtam Konchem Kashtam,Confessions of a Shopaholic,108046285890083,109469595745998,108046285890083,2014-11-21 02:00:27,,pilot
154,15,Godavari,Serendipity,104085552961607,117124431723243,117124431723243,2014-11-21 02:00:27,"Story, action, emotional elements.",pilot
155,15,Pursuit of Happyness,Kuch Kuch Hota Hai,110805862281668,329909013749416,110805862281668,2014-11-21 02:00:27,,pilot
156,15,Kuch Kuch Hota Hai,The Dark Knight Rises,329909013749416,225034700870481,225034700870481,2014-11-21 02:00:27,,pilot
157,15,Batman Begins,Seducing Mr. Perfect,246344278767961,109256762425583,246344278767961,2014-11-21 02:00:27,Action,pilot
158,15,The Proposal,Batman Begins,368938496503181,246344278767961,368938496503181,2014-11-21 02:00:27,,pilot
159,15,Bommarillu,Konchem Ishtam Konchem Kashtam,107575252605631,108046285890083,108046285890083,2014-11-21 02:00:27,,pilot
160,15,Happy Days,Anand,105458649488033,110431812312007,110431812312007,2014-11-21 02:00:27,,pilot
161,15,Rocky,Before Sunrise,224332791564,220797768075488,220797768075488,2014-11-21 02:00:27,,pilot
162,15,Before Sunrise,Avengers,220797768075488,126757470715601,220797768075488,2014-11-21 02:00:27,,pilot
163,15,Harry Potter,The Social Network Movie,156794164312,160640653979986,156794164312,2014-11-21 02:00:27,,pilot
164,16,Toy Story 3,Transformers,113242012023271,180774635291325,180774635291325,2014-11-21 02:02:10,,pilot
